customer_id|company_name|contact_name|city|region
ALFKI|Alfreds Futterkiste|Maria Anders|Berlin|No registra
ANATR|Ana Trujillo Emparedados y helados|Ana Trujillo|México D.F.|No registra
ANTON|Antonio Moreno Taquería|Antonio Moreno|México D.F.|No registra
AROUT|Around the Horn|Thomas Hardy|London|No registra
BERGS|Berglunds snabbköp|Christina Berglund|Luleå|No registra
BLAUS|Blauer See Delikatessen|Hanna Moos|Mannheim|No registra
BLONP|Blondesddsl père et fils|Frédérique Citeaux|Strasbourg|No registra
BOLID|Bólido Comidas preparadas|Martín Sommer|Madrid|No registra
BONAP|Bon app'|Laurence Lebihan|Marseille|No registra
BOTTM|Bottom-Dollar Markets|Elizabeth Lincoln|Tsawassen|BC
BSBEV|B's Beverages|Victoria Ashworth|London|No registra
CACTU|Cactus Comidas para llevar|Patricio Simpson|Buenos Aires|No registra
CENTC|Centro comercial Moctezuma|Francisco Chang|México D.F.|No registra
CHOPS|Chop-suey Chinese|Yang Wang|Bern|No registra
COMMI|Comércio Mineiro|Pedro Afonso|Sao Paulo|SP
CONSH|Consolidated Holdings|Elizabeth Brown|London|No registra
DRACD|Drachenblut Delikatessen|Sven Ottlieb|Aachen|No registra
DUMON|Du monde entier|Janine Labrune|Nantes|No registra
EASTC|Eastern Connection|Ann Devon|London|No registra
ERNSH|Ernst Handel|Roland Mendel|Graz|No registra
FAMIA|Familia Arquibaldo|Aria Cruz|Sao Paulo|SP
FISSA|FISSA Fabrica Inter. Salchichas S.A.|Diego Roel|Madrid|No registra
FOLIG|Folies gourmandes|Martine Rancé|Lille|No registra
FOLKO|Folk och fä HB|Maria Larsson|Bräcke|No registra
FRANK|Frankenversand|Peter Franken|München|No registra
FRANR|France restauration|Carine Schmitt|Nantes|No registra
FRANS|Franchi S.p.A.|Paolo Accorti|Torino|No registra
FURIB|Furia Bacalhau e Frutos do Mar|Lino Rodriguez|Lisboa|No registra
GALED|Galería del gastrónomo|Eduardo Saavedra|Barcelona|No registra
GODOS|Godos Cocina Típica|José Pedro Freyre|Sevilla|No registra
GOURL|Gourmet Lanchonetes|André Fonseca|Campinas|SP
GREAL|Great Lakes Food Market|Howard Snyder|Eugene|OR
GROSR|GROSELLA-Restaurante|Manuel Pereira|Caracas|DF
HANAR|Hanari Carnes|Mario Pontes|Rio de Janeiro|RJ
HILAA|HILARION-Abastos|Carlos Hernández|San Cristóbal|Táchira
HUNGC|Hungry Coyote Import Store|Yoshi Latimer|Elgin|OR
HUNGO|Hungry Owl All-Night Grocers|Patricia McKenna|Cork|Co. Cork
ISLAT|Island Trading|Helen Bennett|Cowes|Isle of Wight
KOENE|Königlich Essen|Philip Cramer|Brandenburg|No registra
LACOR|La corne d'abondance|Daniel Tonini|Versailles|No registra
LAMAI|La maison d'Asie|Annette Roulet|Toulouse|No registra
LAUGB|Laughing Bacchus Wine Cellars|Yoshi Tannamuri|Vancouver|BC
LAZYK|Lazy K Kountry Store|John Steel|Walla Walla|WA
LEHMS|Lehmanns Marktstand|Renate Messner|Frankfurt a.M.|No registra
LETSS|Let's Stop N Shop|Jaime Yorres|San Francisco|CA
LILAS|LILA-Supermercado|Carlos González|Barquisimeto|Lara
LINOD|LINO-Delicateses|Felipe Izquierdo|I. de Margarita|Nueva Esparta
LONEP|Lonesome Pine Restaurant|Fran Wilson|Portland|OR
MAGAA|Magazzini Alimentari Riuniti|Giovanni Rovelli|Bergamo|No registra
MAISD|Maison Dewey|Catherine Dewey|Bruxelles|No registra
MEREP|Mère Paillarde|Jean Fresnière|Montréal|Québec
MORGK|Morgenstern Gesundkost|Alexander Feuer|Leipzig|No registra
NORTS|North/South|Simon Crowther|London|No registra
OCEAN|Océano Atlántico Ltda.|Yvonne Moncada|Buenos Aires|No registra
OLDWO|Old World Delicatessen|Rene Phillips|Anchorage|AK
OTTIK|Ottilies Käseladen|Henriette Pfalzheim|Köln|No registra
PARIS|Paris spécialités|Marie Bertrand|Paris|No registra
PERIC|Pericles Comidas clásicas|Guillermo Fernández|México D.F.|No registra
PICCO|Piccolo und mehr|Georg Pipps|Salzburg|No registra
PRINI|Princesa Isabel Vinhos|Isabel de Castro|Lisboa|No registra
QUEDE|Que Delícia|Bernardo Batista|Rio de Janeiro|RJ
QUEEN|Queen Cozinha|Lúcia Carvalho|Sao Paulo|SP
QUICK|QUICK-Stop|Horst Kloss|Cunewalde|No registra
RANCH|Rancho grande|Sergio Gutiérrez|Buenos Aires|No registra
RATTC|Rattlesnake Canyon Grocery|Paula Wilson|Albuquerque|NM
REGGC|Reggiani Caseifici|Maurizio Moroni|Reggio Emilia|No registra
RICAR|Ricardo Adocicados|Janete Limeira|Rio de Janeiro|RJ
RICSU|Richter Supermarkt|Michael Holz|Genève|No registra
ROMEY|Romero y tomillo|Alejandra Camino|Madrid|No registra
SANTG|Santé Gourmet|Jonas Bergulfsen|Stavern|No registra
SAVEA|Save-a-lot Markets|Jose Pavarotti|Boise|ID
SEVES|Seven Seas Imports|Hari Kumar|London|No registra
SIMOB|Simons bistro|Jytte Petersen|Kobenhavn|No registra
SPECD|Spécialités du monde|Dominique Perrier|Paris|No registra
SPLIR|Split Rail Beer & Ale|Art Braunschweiger|Lander|WY
SUPRD|Suprêmes délices|Pascale Cartrain|Charleroi|No registra
THEBI|The Big Cheese|Liz Nixon|Portland|OR
THECR|The Cracker Box|Liu Wong|Butte|MT
TOMSP|Toms Spezialitäten|Karin Josephs|Münster|No registra
TORTU|Tortuga Restaurante|Miguel Angel Paolino|México D.F.|No registra
TRADH|Tradição Hipermercados|Anabela Domingues|Sao Paulo|SP
TRAIH|Trail's Head Gourmet Provisioners|Helvetius Nagy|Kirkland|WA
VAFFE|Vaffeljernet|Palle Ibsen|Århus|No registra
VICTE|Victuailles en stock|Mary Saveley|Lyon|No registra
VINET|Vins et alcools Chevalier|Paul Henriot|Reims|No registra
WANDK|Die Wandernde Kuh|Rita Müller|Stuttgart|No registra
WARTH|Wartian Herkku|Pirkko Koskitalo|Oulu|No registra
WELLI|Wellington Importadora|Paula Parente|Resende|SP
WHITC|White Clover Markets|Karl Jablonski|Seattle|WA
WILMK|Wilman Kala|Matti Karttunen|Helsinki|No registra
WOLZA|Wolski  Zajazd|Zbyszek Piestrzeniewicz|Warszawa|No registra
